Name	Field	N	Type	RA	Dec		
OGLE-LMC-RRLYR-00262	LMC155.4	5457	RRab	04:37:04.56	-68:24:40.60		
OGLE-LMC-RRLYR-00263	LMC153.2	396	RRab	04:37:04.89	-67:30:45.30		
OGLE-LMC-RRLYR-00264	LMC154.3	581	RRab	04:37:06.47	-68:00:34.70		
OGLE-LMC-RRLYR-00265	LMC154.3	590	RRab	04:37:08.85	-68:03:39.20		
OGLE-LMC-RRLYR-00266	LMC152.6	2969	RRab	04:37:10.62	-66:49:50.60		
OGLE-LMC-RRLYR-00268	LMC151.7	5254	RRab	04:37:11.50	-70:30:53.10		
OGLE-LMC-RRLYR-00269	LMC152.8	2915	RRab	04:37:12.72	-67:07:39.40		
OGLE-LMC-RRLYR-00271	LMC155.4	5495	RRab	04:37:16.51	-68:29:08.50		
OGLE-LMC-RRLYR-00272	LMC151.7	5281	RRab	04:37:18.20	-70:32:11.60		
OGLE-LMC-RRLYR-00273	LMC154.1	745	RRab	04:37:19.10	-68:20:47.40		
OGLE-LMC-RRLYR-00274	LMC155.1	5427	RRab	04:37:19.60	-68:54:38.10		
OGLE-LMC-RRLYR-00275	LMC149.7	706	RRab	04:37:20.83	-69:19:28.00		
OGLE-LMC-RRLYR-00276	LMC155.4	5509	RRab	04:37:20.83	-68:24:21.70		
OGLE-LMC-RRLYR-00277	LMC149.6	713	RRab	04:37:21.35	-69:07:18.70		
OGLE-LMC-RRLYR-00278	LMC152.7	3464	RRab	04:37:21.44	-66:56:34.80		
OGLE-LMC-RRLYR-00279	LMC150.8	4893	RRab	04:37:22.40	-70:01:49.40		
OGLE-LMC-RRLYR-00280	LMC154.1	751	RRab	04:37:23.00	-68:15:57.60		
OGLE-LMC-RRLYR-00283	LMC155.4	5536	RRab	04:37:28.57	-68:24:00.30		
OGLE-LMC-RRLYR-00284	LMC151.5	5148	RRab	04:37:30.04	-70:13:14.70		
OGLE-LMC-RRLYR-00285	LMC155.1	5476	RRab	04:37:32.47	-68:54:06.90		
OGLE-LMC-RRLYR-00286	LMC149.7	789	RRab	04:37:38.56	-69:18:31.20		
OGLE-LMC-RRLYR-00287	LMC154.2	5049	RRab	04:37:38.65	-68:06:57.70		
OGLE-LMC-RRLYR-00288	LMC155.1	5498	RRab	04:37:38.66	-68:53:14.50		
OGLE-LMC-RRLYR-00289	LMC153.2	466	RRab	04:37:39.46	-67:32:10.60		
OGLE-LMC-RRLYR-00292	LMC151.7	5428	RRab	04:37:40.80	-70:28:42.60		
OGLE-LMC-RRLYR-00294	LMC154.4	4766	RRab	04:37:41.53	-67:50:59.90		
OGLE-LMC-RRLYR-00295	LMC149.7	801	RRab	04:37:41.93	-69:15:33.20		
OGLE-LMC-RRLYR-00296	LMC153.3	457	RRab	04:37:42.46	-67:24:46.20		
OGLE-LMC-RRLYR-00297	LMC154.1	5188	RRab	04:37:44.21	-68:20:20.60		
OGLE-LMC-RRLYR-00298	LMC152.8	2994	RRab	04:37:45.14	-67:07:24.90		
OGLE-LMC-RRLYR-00299	LMC151.5	5235	RRab	04:37:47.96	-70:15:05.70		
OGLE-LMC-RRLYR-00300	LMC154.1	5204	RRab	04:37:48.39	-68:18:45.30		
OGLE-LMC-RRLYR-00301	LMC149.6	832	RRab	04:37:49.12	-69:07:56.60		
OGLE-LMC-RRLYR-00303	LMC153.1	492	RRab	04:37:53.19	-67:41:37.00		
OGLE-LMC-RRLYR-00304	LMC150.5	5355	RRab	04:37:55.62	-69:40:32.20		
OGLE-LMC-RRLYR-00306	LMC153.1	505	RRab	04:37:59.15	-67:38:34.70		
OGLE-LMC-RRLYR-00307	LMC154.1	5236	RRab	04:37:59.49	-68:15:16.70		
OGLE-LMC-RRLYR-00308	LMC152.2	318	RRab	04:37:59.49	-67:00:33.50		
OGLE-LMC-RRLYR-00309	LMC154.2	5103	RRab	04:38:00.46	-68:07:08.00		
OGLE-LMC-RRLYR-00310	LMC148.6	567	RRab	04:38:01.72	-68:30:39.60		
OGLE-LMC-RRLYR-00311	LMC152.2	324	RRab	04:38:02.42	-66:59:56.30		
OGLE-LMC-RRLYR-00312	LMC151.1	567	RRab	04:38:02.96	-70:41:28.10		
OGLE-LMC-RRLYR-00313	LMC154.3	5064	RRab	04:38:03.82	-67:59:29.10		
OGLE-LMC-RRLYR-00315	LMC150.6	5773	RRab	04:38:08.23	-69:46:03.80		
OGLE-LMC-RRLYR-00316	LMC152.1	373	RRab	04:38:08.84	-67:08:29.50		
OGLE-LMC-RRLYR-00317	LMC148.8	585	RRab	04:38:09.12	-68:54:31.20		
OGLE-LMC-RRLYR-00319	LMC148.6	627	RRab	04:38:11.50	-68:37:29.40		
OGLE-LMC-RRLYR-00320	LMC149.8	1030	RRab	04:38:13.95	-69:28:21.00		
OGLE-LMC-RRLYR-00321	LMC148.7	805	RRab	04:38:14.17	-68:46:51.90		
OGLE-LMC-RRLYR-00323	LMC154.1	5280	RRab	04:38:16.66	-68:14:25.50		
