# Extinction map of the Large Magellanic Cloud derived using OGLE-III RR Lyr stars
#
# When using this map, please cite our paper: Pejcha & Stanek (2009)
#
# Version: May 19 2009
#
# Description
# 
# The map is given sinusoidal projection. You can compute projected coordinates (x,y) for your target from
#  x = (RA-80.35)*cos(DEC)
#  y = DEC+69.68
# Here RA and DEC are given in degrees. The map is pixelized in fixed spatial resolution of 0.2 sq. deg.
#
# Column 1: Minimum x
# Column 2: Maximum x
# Column 3: Minimum y
# Column 4: Maximum y
# Column 5: mean E(V-I)
# Column 6: rms of E(V-I)
# Column 7: internal reddening in the sense E(V-I)_distant - E(V-I)_close
# Column 8: Number of stars in pixel
#
#
# If number of stars in pixel is < 2 we give zeros in Columns 5-7.
# If number of stars in pixel is < 4 we give zero in Column 7.
# Robust rms scatter of internal reddening is 0.058 mag. Therefore, all values of internal reddening that are lower than ~0.06 mag are consistent with zero.
#
#
minX     maxX    minY    maxY   Ext    rms     delta  n
-3.100  -2.900  -1.400  -1.200  0.000  0.000   0.000  0
-3.100  -2.900  -1.200  -1.000  0.231  0.062   0.000  2
-3.100  -2.900  -1.000  -0.800  0.172  0.026   0.000  3
-3.100  -2.900  -0.800  -0.600  0.194  0.011   0.000  3
-3.100  -2.900  -0.600  -0.400  0.163  0.056  -0.021  4
-3.100  -2.900  -0.400  -0.200  0.220  0.046   0.015  5
-3.100  -2.900  -0.200  -0.000  0.244  0.014   0.000  3
-3.100  -2.900   0.000   0.200  0.204  0.009   0.000  2
-3.100  -2.900   0.200   0.400  0.214  0.063   0.036  8
-3.100  -2.900   0.400   0.600  0.211  0.106   0.172  6
-3.100  -2.900   0.600   0.800  0.223  0.121   0.160  5
-3.100  -2.900   0.800   1.000  0.224  0.058  -0.009  7
-3.100  -2.900   1.000   1.200  0.300  0.205   0.252  5
-3.100  -2.900   1.200   1.400  0.132  0.079   0.131  5
-3.100  -2.900   1.400   1.600  0.076  0.023   0.000  3
-3.100  -2.900   1.600   1.800  0.064  0.047   0.000  2
-3.100  -2.900   1.800   2.000  0.105  0.039   0.071  4
-3.100  -2.900   2.000   2.200  0.120  0.068   0.111  4
-3.100  -2.900   2.200   2.400  0.125  0.009   0.000  2
-3.100  -2.900   2.400   2.600  0.000  0.000   0.000  1
-3.100  -2.900   2.600   2.800  0.365  0.306   0.000  2
-3.100  -2.900   2.800   3.000  0.000  0.000   0.000  1
-3.100  -2.900   3.000   3.200  0.092  0.014   0.000  2
-3.100  -2.900   3.200   3.400  0.000  0.000   0.000  0
-2.900  -2.700  -3.400  -3.200  0.000  0.000   0.000  0
-2.900  -2.700  -3.200  -3.000  0.000  0.000   0.000  0
-2.900  -2.700  -3.000  -2.800  0.000  0.000   0.000  0
-2.900  -2.700  -2.800  -2.600  0.000  0.000   0.000  0
-2.900  -2.700  -2.600  -2.400  0.000  0.000   0.000  0
-2.900  -2.700  -2.400  -2.200  0.000  0.000   0.000  0
-2.900  -2.700  -2.200  -2.000  0.000  0.000   0.000  0
-2.900  -2.700  -2.000  -1.800  0.000  0.000   0.000  0
-2.900  -2.700  -1.800  -1.600  0.000  0.000   0.000  0
-2.900  -2.700  -1.600  -1.400  0.000  0.000   0.000  0
-2.900  -2.700  -1.400  -1.200  0.000  0.000   0.000  0
-2.900  -2.700  -1.200  -1.000  0.000  0.000   0.000  1
-2.900  -2.700  -1.000  -0.800  0.199  0.041  -0.047  4
-2.900  -2.700  -0.800  -0.600  0.221  0.062   0.029  8
-2.900  -2.700  -0.600  -0.400  0.183  0.037  -0.015  9
-2.900  -2.700  -0.400  -0.200  0.191  0.015   0.016  5
-2.900  -2.700  -0.200  -0.000  0.148  0.059  -0.116  4
-2.900  -2.700   0.000   0.200  0.202  0.046   0.045  9
-2.900  -2.700   0.200   0.400  0.275  0.123   0.198  4
